Anos;UF;Dívida;PIB;D/P
2000;SE;1051001297.0;6539803.215;160.70839785964415
2001;SE;1147485498.84;8018927.573;143.0971271898779
2002;SE;1366760557.45;9454445.692;144.56273820542455
2003;SE;1328286060.36;10873836.86;122.15431199323694
2004;SE;1766505495.17;12167427.03;145.18315916869733
2005;SE;1745626453.17;13427434.77;130.00446347876766
2006;SE;1833650105.26;15124272.26;121.23889822517648
2007;SE;1621538112.49;16895687.37;95.97349175442277
2008;SE;1613064391.16;19551799.45;82.5020937476934
2009;SE;1615097441.15;19767110.93;81.70629723632558
2010;SE;1967005411.11;23932155.33;82.1909010695862
2011;SE;2323607716.96;26198908.34;88.69101287752359
2012;SE;2516739836.05;27823191.48;90.45475023449755
2013;SE;2835018696.23;33754892.165816076;83.9883795896422
2014;SE;2865594449.84;38147392.21788976;75.11901294516638
2015;SE;3140123493.86;42909611.29274052;73.17995664041936
2016;SE;2905639842.05;48743011.281043254;59.6114143481332
1996;SP;50922619418.0;307924113.2;165.3739257013796
1997;SP;52285477029.44;344890877.3;151.60005807854404
1998;SP;54703524607.59;353085089.7;154.9301463113864
1999;SP;62402882751.56;383249570.9;162.82570807585475
2000;SP;69543959783.36;424161313.5;163.95639481949124
2001;SP;78040276163.48;463478076.1;168.37964984268646
2002;SP;97596960142.07;511735997.6;190.71740233204576
2003;SP;106285645809.41;579847020.2;183.2994602140925
2004;SP;119707917642.1;643487373.3;186.02994030512394
2005;SP;122338955045.65;726983946.0;168.282883987716
2006;SP;128291567936.98;802654767.5;159.83405709601044
2007;SP;136898352189.78;902784089.6;151.6401914553413
2008;SP;154678046475.89;1003015029.0;154.2130895387511
2009;SP;152985647914.24;1084353490.0;141.08466411099943
2010;SP;170466837257.31;1247595927.0;136.6362566341642
2011;SP;182245700404.7;1349465140.0;135.05032105142044
2012;SP;195391840427.11;1408903866.0;138.68358597229513
2013;SP;209092333374.75;1898963937.0885386;110.10863834272021
2014;SP;222442515774.43;2139702533.1143105;103.95955154133863
2015;SP;253961231232.91;2401085316.3324423;105.76934917948904
2016;SP;257354949915.23;2713135131.2271843;94.85519057018927
1996;TO;203010099.4;2165596.516;93.74327022605905
1997;TO;307877996.53;2467997.68;124.74808992932276
1998;TO;233243000.0;2786155.1489999997;83.71500778903682
1999;TO;480541000.0;3015695.225;159.34667270629112
2000;TO;554977901.93;3671728.026;151.14896800637922
2001;TO;576923293.45;4843263.94;119.1186977619064
2002;TO;874032510.93;5607173.679;155.87755275058245
2003;TO;886188000.0;7241148.147999999;122.38224959459842
2004;TO;859851150.0;8277813.982999999;103.87418124710959
2005;TO;688106294.72;9060924.517;75.94217272519852
2006;TO;640796535.76;9604691.997000001;66.71703121351013
2007;TO;634623389.63;11094061.17;57.20388412370724
2008;TO;733782612.6;13090263.68;56.05560212825293
2009;TO;811334773.34;14571365.6;55.68007801135674
2010;TO;1085313940.44;17240135.04;62.95275169955978
2011;TO;1402051514.51;18059158.88;77.63659004422027
2012;TO;1834996435.79;19529689.43;93.95932497376124
2013;TO;2101845189.97;20076435.67458132;104.6921487478545
2014;TO;2479752835.41;22485996.85814587;110.2798711150613
2015;TO;3036496911.55;25130357.739008326;120.82983231220106
2016;TO;3076926621.72;28396427.990949996;108.35611516704225
