Anos;UF;Dívida;PIB;D/P
2011;AL;7830489733.96;28540303.89;274.36602511803176
2012;AL;8178422543.18;29544708.36;276.81513872218846
2013;AL;9035401985.71;36503136.834590144;247.52398750422208
2014;AL;9703064613.49;41108312.02450038;236.03656135788341
2015;AL;10789674571.77;46200779.671686;233.53879844548203
2016;AL;8945553378.38;52817654.81199542;169.36672804238887
1996;AM;1339077760.6;12495041.42;107.16873322697636
1997;AM;1365492378.88;12572250.22;108.61161327411125
1998;AM;1616159702.15;13198509.85;122.450164489592
1999;AM;2087434948.96;13933920.08;149.80959679510377
2000;AM;1920488632.83;16749755.08;114.6577143162621
2001;AM;1987281567.38;18050376.83;110.09640331037899
2002;AM;2286497140.0;21791165.27;104.92771321173133
2003;AM;2185979578.9;24977174.81;87.51908874917308
2004;AM;2102246920.0;30313729.31;69.34966326648907
2005;AM;1981720328.57;33352132.25;59.41809997979964
2006;AM;1955250897.05;39156909.68;49.93373872015939
2007;AM;1956955059.73;42023210.12;46.56843335246851
2008;AM;2225403444.9;46822561.04;47.52844345696645
2009;AM;2778228819.24;49614250.55;55.99658945649437
2010;AM;3189417100.03;59779291.83;53.35320982222483
2011;AM;3302189902.5;64555403.73;51.15280381966562
2012;AM;3877973077.71;64119835.58;60.48008455779013
2013;AM;4667462530.81;81575157.8277589;57.21671468494208
2014;AM;5779712464.46;91109137.83155814;63.43724243275671
2015;AM;6906913511.12;101967963.08020903;67.73611340737435
2016;AM;6286692182.19;115941113.39285704;54.223148270864485
1996;AP;72350000.0;1819439.914;39.76498451160174
1997;AP;75450000.0;2030049.846;37.166575071378816
1998;AP;84395000.0;2038322.541;41.40414399705155
1999;AP;101031000.0;2128307.0330000003;47.47012457953006
2000;AP;113377000.0;2357035.636;48.10152136367615
2001;AP;102705510.19;2801925.026;36.65533846800368
2002;AP;229785796.12;3291534.637;69.8111432694609
2003;AP;260458757.26;3434107.295;75.84467661777003
2004;AP;273882092.11;3846125.3419999997;71.2098716906559
2005;AP;265948267.09;4361254.714;60.97976030528173
2006;AP;255035819.26;5260017.965;48.485731599587794
2007;AP;259361484.53;6022130.33;43.06806234962371
2008;AP;237369500.28;6764832.739;35.088746379720355
2009;AP;500503680.15;7404389.145;67.59553966554793
2010;AP;693783039.99;8265964.663;83.93249527130237
2011;AP;663760404.77;8968031.818;74.01405550744668
2012;AP;1143083077.75;10419539.4;109.70572055709103
2013;AP;2225037264.96;10813927.199752552;205.7566343715458
2014;AP;2483028270.11;12151036.10989584;204.34704066822866
2015;AP;0.0;;
2016;AP;1851701307.44;15805783.350107513;117.15340305657197
1996;BA;5051360926.0;32430856.07;155.7578657528173
1997;BA;5185699897.24;36528096.93;141.96468836516527
1998;BA;7023265633.39;37838126.0;185.61346387477013
1999;BA;8483442271.78;41883129.02;202.55034593353787
2000;BA;9127751634.22;46523212.32;196.19779415567234
2001;BA;10159998903.63;51095879.58;198.84184374833302
2002;BA;12820633057.15;60671852.18;211.3110544097782
2003;BA;12516842570.0;68146936.56;183.67432494899518
2004;BA;12757564309.12;79083213.15;161.3182343125369
2005;BA;12050413939.98;90919322.15;132.53963684527974
2006;BA;11675676518.89;96520719.24;120.96549436042102
2007;BA;10663653439.26;109651822.4;97.25012503996467
2008;BA;10686292532.52;121507036.5;87.94793157941928
2009;BA;9664688878.13;137074670.7;70.50674518330248
2010;BA;9786749641.1;154340457.6;63.410137518602255
2011;BA;9923486049.89;159868615.1;62.07275920719476
2012;BA;11235611410.99;167727375.1;66.9873442202936
2013;BA;12903390306.88;226281555.28577924;57.02360623508989
2014;BA;14696636431.31;253958953.28937218;57.87012523462402
2015;BA;18925393896.15;282995438.3084856;66.87526134438939
2016;BA;17629647753.6;321342711.76050097;54.862447811604646
1996;CE;1914695155.2;17149445.2;111.6476441581912
1997;CE;1756071263.21;18537642.82;94.73001935906326
1998;CE;2219451876.51;19219949.45;115.47646794201117
1999;CE;3325264649.38;20733661.55;160.3800004818734
2000;CE;3530759336.26;22607131.41;156.17900706757558
2001;CE;3823576323.81;24532751.18;155.85599412621605
2002;CE;4828264351.26;28896192.61;167.08998366757496
2003;CE;5094721137.8;32565459.42;156.44554778401465
2004;CE;4948379019.67;36866266.62;134.2251188783379
2005;CE;4960788808.61;40935242.0;121.18625825175285
2006;CE;4688735771.16;46303066.37;101.2618847679137
2007;CE;4474336065.67;50331373.37;88.89755566131495
2008;CE;4917125163.16;60098867.67;81.81726800843734
2009;CE;4847723953.8;65703760.57;73.78152957676285
2010;CE;5571951269.35;77865414.73;71.55874387455407
2011;CE;6684761574.72;87982450.26;75.97835198912543
2012;CE;7156519462.41;90131724.43;79.40067171318847
2013;CE;7636558577.17;109314314.31682405;69.8587245860325
2014;CE;9168003710.31;122310191.18446337;74.95698945056165
2015;CE;11769250772.02;136319248.2937702;86.33594242433816
2016;CE;11111543745.14;154670522.34273648;71.84008676532288
1996;DF;914624000.0;38656726.6;23.660151296928486
1997;DF;826197000.0;43800561.47;18.86270340543194
1998;DF;1244621000.0;47286595.8;26.320799350077134
1999;DF;1340334920.0;48619189.39;27.568022766658473
2000;DF;1163374333.41;46474890.26;25.03232018196486
2001;DF;1369872739.23;51523398.38;26.58739101653954
2002;DF;1718369515.29;56137992.58;30.60974281973515
2003;DF;1692083814.18;63104911.7;26.813821120995247
2004;DF;1738077643.06;70724100.1;24.57546494904076
2005;DF;1696336178.01;80526601.09;21.06553803399825
2006;DF;1724122343.87;89628570.41;19.23630306701441
2007;DF;1686022639.83;99945600.7;16.869403235574328
2008;DF;2072758952.79;117571858.6;17.62972004926696
2009;DF;2114877342.75;131487267.9;16.084274747867052
2010;DF;2373541829.0;149906318.9;15.833500858515176
2011;DF;2552049060.64;164482129.0;15.515661647594554
2012;DF;2748374856.84;171235534.1;16.05026007764822
2013;DF;2913416192.61;224159878.41465104;12.997045739027222
2014;DF;3375878062.67;251326396.24022487;13.432246326578607
2015;DF;5930582623.43;275051975.12843406;21.56167982673364
2016;DF;3677848278.54;319796324.6752884;11.500595831657469
1996;ES;970495656.6;16007846.84;60.62624575935786
1997;ES;1217145609.78;17733917.02;68.63377156932248
1998;ES;2067171833.68;18394274.69;112.38126365503352
1999;ES;2520877423.89;19842972.61;127.04131953594427
2000;ES;2660989863.49;23248586.26;114.45813666822077
2001;ES;3137979183.45;24333663.3;128.95629995217365
2002;ES;3434259167.34;26756054.23;128.35447027496923
2003;ES;3349934533.49;31063722.71;107.84072999761848
2004;ES;3363584429.39;40217390.02;83.63507496924336
2005;ES;3230907741.91;47222572.45;68.41871533641958
2006;ES;3142383929.71;52777554.05;59.54015843047581
2007;ES;3147814217.47;60339805.37;52.16812016823381
2008;ES;3304431849.02;69870210.38;47.29385858505841
2009;ES;3186027530.54;66763012.32;47.72144664876919
2010;ES;3299813700.23;82121834.15;40.18192889119732
2011;ES;3188294470.59;97693458.23;32.6357007762361
2012;ES;4383758271.18;107328770.9;40.84420453546813
2013;ES;5024346565.18;114285068.62247792;43.96328081822403
2014;ES;5972014284.54;127946112.95680937;46.67601185005101
2015;ES;6794962977.74;143604317.9749662;47.31726088434563
2016;ES;6807102346.43;162375812.98378277;41.92189847332655
1996;GO;5339870576.02;17722630.22;301.30237497106685
1997;GO;6175958952.42;19825070.24;311.52267697690644
1998;GO;6889195785.08;21120127.89;326.1910070318234
1999;GO;7567903214.4;22191345.55;341.0294881555751
2000;GO;8428106917.85;26249030.74;321.0825954425318
2001;GO;8858574698.48;29914136.3;296.13339357820604
2002;GO;10641758330.03;37416003.07;284.4172935874735
2003;GO;11297173424.06;42836397.75;263.7283716056633
2004;GO;11975395130.0;48020940.26;249.37860577409694
2005;GO;12270483821.88;50534401.23;242.81446941525382
2006;GO;12488930629.63;57057082.63;218.8848439836539
2007;GO;12689141203.35;65210133.89;194.58848566013887
2008;GO;13344688187.19;75271150.64;177.28821831107325
2009;GO;12661736410.87;85615343.89;147.89097182320506
2010;GO;14811697766.35;97575930.34;151.79663380855447
2011;GO;15248354382.95;111268553.0;137.04100549370855
2012;GO;16223250912.82;123926301.3;130.9104745533142
2013;GO;16760295286.59;134327569.1847687;124.77182002404936
2014;GO;17580245401.36;151481110.19664735;116.05569419538817
2015;GO;17880200416.13;171131654.31868762;104.48213387122898
2016;GO;18899240174.1;192899105.32079616;97.97474250940706
1996;MA;2390082631.32;8482394.18;281.7698141116097
1997;MA;2801421401.12;9249485.071;302.8732280355069
